"id","start_number"," category"," team"," liquid_time"," official_time"," class_general"," class_sex"," class_category"," pace"," distance"," substitute"," notes"," athlete_id"," race_id"
299,5286,"M3034 ","Locamotiva",20090712010059,20090712010401,2854,,,,"10Km",,,3,25
300,5315,"M3034 ","Locamotiva",20090712005651,20090712005903,2156,,,,"10Km",,,22,25
301,5407,"M2024 ","Locamotiva",20090712010751,20090712011250,3616,,,,"10Km",,,38,25
302,126,"F-25-29","Locamotiva",20090802010158,20090802010158,84,"null",10,,"8Km",,,49,26
303,122,"M-30-34","Locamotiva",20090802010157,20090802010157,520,"null",79,,"8Km",,,12,26
304,127,"M-20-24","Locamotiva",20090802005255,20090802005255,506,"null",28,,"8Km",,,22,26
305,120,"M-20-24","Locamotiva",20090802004837,20090802004837,481,"null",26,,"8Km",,,52,26
306,124,"M-25-29","Locamotiva",20090802003906,20090802003906,289,"null",30,,"8Km",,,46,26
307,121,"M-30-34","Locamotiva",20090802003726,20090802003807,247,"null",38,,"8Km",,,21,26
308,125,"M-35-39","Locamotiva",20090802003607,20090802003649,212,"null",42,,"8Km",,,1,26
309,5192,,"Locamotiva",20090802003959,20090802014518,"null",,,,"8Km",,,21,28
310,5192,,"Locamotiva",20090802010431,20090802014518,"null",,,,"8Km",,,11,28
311,5490,,"Locamotiva",20090802005315,20090802013758,"null",,,,"8Km",,,38,28
312,5490,,"Locamotiva",20090802004233,20090802013758,"null",,,,"8Km",,,2,28
313,5521,,"Locamotiva",20090802004222,20090802014246,"null",,,,"8Km",,,3,28
314,5521,,"Locamotiva",20090802005931,20090802014246,"null",,,,"8Km",,,55,28
315,4708,,"Locamotiva",20090802003736,20090802011820,"null",,,,"8Km",,,2,28
316,4708,,"Locamotiva",20090802003743,20090802011820,"null",,,,"8Km",,,1,28
317,5075,,"Locamotiva",20090802005314,20090802014243,"null",,,,"8Km",,,37,28
318,5075,,"Locamotiva",20090802004837,20090802014243,"null",,,,"8Km",,,22,28
319,5193,,"Locamotiva",20090802003958,20090802013006,"null",,,,"8Km",,,46,28
320,5193,,"Locamotiva",20090802004926,20090802013006,"null",,,,"8Km",,,52,28
323,5347,,"Locamotiva",20090802004147,20090802013511,"null",,,,"8Km",,,56,28
325,5347,,"Locamotiva",20090802005234,20090802013511,"null",,,,"8Km",,,8,28
326,2900,,"Locamotiva",20090621004002,20090621004203,2215,1751,295,20090621000640,"6Km",,,55,24
327,2991,"M2024  ","Locamotiva  ",20090823004909,20090823004957,1356,1245,52,20090823045400,"10Km",,,45,29
328,2997,"M3539 ","Locamotiva ",20090823005034,20090823005106,1611,1475,265,20090823050300,"10Km",,,1,29
329,2989,"M3034 ","Locamotiva ",20090823005107,20090823005321,1729,1582,266,20090823050600,"10Km",,,21,29
330,2996,"M2529 ","Locamotiva ",20090823005133,20090823005211,1805,1651,199,20090823050900,"10Km",,,46,29
331,2992,"M3034 ","Locamotiva ",20090823005335,20090823005549,2258,2045,344,20090823052100,"10Km",,,2,29
332,2998,"M3034 ","Locamotiva ",20090823005741,20090823010156,3141,2791,459,20090823054600,"10Km",,,22,29
333,2994,"M3034 ","Locamotiva ",20090823010524,20090823010937,4468,3751,617,20090823063200,"10Km",,,37,29
334,2988,"M2024 ","Locamotiva ",20090823010656,20090823011108,4632,3858,142,20090823064100,"10Km",,,52,29
335,2999,"M2024 ","Locamotiva ",20090823010856,20090823011334,4810,3955,151,20090823065300,"10Km",,,38,29
336,3193,"M3034 ","Locamotiva ",20090823010957,20090823011411,4885,3999,662,20090823065900,"10Km",,,3,29
337,2993,"M2529 ","Locamotiva ",20090823011432,20090823011904,5140,4132,439,20090823072700,"10Km",,,11,29
338,2995,"M3034 ","Locamotiva ",20090823012030,20090823012444,5276,4191,689,20090823080300,"10Km",,,4,29
339,2990,"M3034 ","Locamotiva ",20090823012406,20090823012828,5315,4209,692,20090823082400,"10Km",,,12,29
340,4011,"F3034 ","Locamotiva ",20090823012821,20090823013442,5333,1120,195,20090823085000,"10Km",,,57,29
341,4029,"M3539 ","Locamotiva ",20091021003811,20091021003854,626,587,103,20091021044600,"8Km",,,1,32
342,4028,"M4044 ","Locamotiva ",20091021003825,20091021003905,651,609,86,20091021044800,"8Km","Marco Fonseca ",,2,32
343,4026,"M3034 ","Locamotiva ",20091021003857,20091021003939,712,666,128,20091021045200,"8Km",,,4,32
344,4031,"M3034 ","Locamotiva ",20091021004550,20091021004708,1564,1394,245,20091021054300,"8Km",,,22,32
345,4030,"M3034 ","Locamotiva ",20091021004705,20091021004745,1709,1507,264,20091021055300,"8Km",,,13,32
346,4020,"M2024 ","Locamotiva ",20091021004901,20091021004943,1937,1679,77,20091021060700,"8Km",,,52,32
347,4021,"M3034 ","Locamotiva ",20091021005110,20091021005405,2153,1820,321,20091021062300,"8Km",,,21,32
348,4022,"M2529 ","Locamotiva ",20091021005337,20091021005454,2365,1956,216,20091021064200,"8Km",,,58,32
349,4023,"M2024 ","Locamotiva ",20091021005450,20091021005608,2464,2018,88,20091021065100,"8Km","Carlos Guiner Pereira ",,55,32
350,4027,"M2529 ","Locamotiva ",20091021005928,20091021010021,2695,2143,233,20091021072600,"8Km","Maciel da Silva Moraes ",,34,32
351,4024,"M3034 ","Locamotiva ",20091021010142,20091021010536,2771,2180,378,20091021074200,"8Km",,,37,32
352,4025,"F2529 ","Locamotiva ",20091021012325,20091021012707,2977,702,81,20091021102500,"8Km",,,23,32
353,3506,"M2529  ","Locamotiva  ",20091029004320,20091029004839,707,665,63,20091029044800,"9Km",,,11,33
354,3508,"M3034 ","Locamotiva ",20091029004327,20091029004441,723,679,113,20091029044900,"9Km",,,4,33
355,3505,"M3034 ","Locamotiva ",20091029004355,20091029004510,786,740,129,20091029045200,"9Km",,,2,33
356,3510,"M3539 ","Locamotiva ",20091029004442,20091029004637,896,845,155,20091029045800,"9Km",,,1,33
357,3504,"M3034 ","Locamotiva ",20091029004616,20091029004730,1078,1017,180,20091029050800,"9Km",,,21,33
358,3507,"F2024 ","Locamotiva ",20091029004642,20091029004758,1143,66,3,20091029051100,"9Km",,,57,33
359,3513,"M3034 ","Locamotiva ",20091029005050,20091029005206,1695,1547,265,20091029053800,"9Km",,,22,33
360,3512,"M3034 ","Locamotiva ",20091029005238,20091029005353,1916,1729,301,20091029055000,"9Km",,,13,33
361,3503,"M2024 ","Locamotiva ",20091029005903,20091029010241,2579,2211,99,20091029063300,"9Km",,,52,33
362,3509,"M3034 ","Locamotiva ",20091029010324,20091029010440,2888,2405,421,20091029070200,"9Km",,,55,33
363,3514,"M2024 ","Locamotiva ",20091029010530,20091029011119,2974,2449,110,20091029071600,"9Km",,,38,33
364,3511,"M2529 ","Locamotiva ",20091029011052,20091029011249,3103,2524,257,20091029075200,"9Km",,,7,33
365,4032,"M3539  ","Locamotiva ",20091123010702,20091123011256,2882,2235,383,20091123082200,"8Km",,,47,32
366,12944,"M3539  ","Locamotiva  ",20091123005004,20091123005129,1376,1310,239,20091123050000,"10Km",,,1,34
367,6403,"M3034 ","Locamotiva ",20091123005113,20091123005238,1594,1506,269,20091123050700,"10Km",,,4,34
368,4772,"M2529 ","Locamotiva ",20091123005313,20091123005407,2006,1877,223,20091123051900,"10Km","Allisson Soares ",,34,34
369,12942,"M3034 ","Locamotiva ",20091123005729,20091123010026,3165,2886,494,20091123054400,"10Km",,,2,34
370,9900,"M3034 ","Locamotiva ",20091123005739,20091123005933,3207,2920,499,20091123054500,"10Km",,,21,34
371,6402,"M3034 ","Locamotiva ",20091123010023,20091123010319,3923,3508,610,20091123060200,"10Km",,,37,34
372,6405,"M3034 ","Locamotiva ",20091123010303,20091123010602,4630,4053,704,20091123061800,"10Km",,,22,34
373,6401,"M2024 ","Locamotiva ",20091123010800,20091123011753,5703,4802,210,20091123064800,"10Km",,,52,34
374,9902,"M3034 ","Locamotiva ",20091123011352,20091123011650,6558,5365,906,20091123072300,"10Km",,,55,34
375,9903,"M3034 ","Locamotiva ",20091123011951,20091123012944,6969,5610,947,20091123075900,"10Km","Rodrigo Lariente Ortiz ",,59,34
376,9901,"M2529 ","Locamotiva ",20091123012040,20091123012944,7002,5630,688,20091123080400,"10Km",,,11,34
377,1362,"F2529 ","Locamotiva ",20091123012104,20091123013030,7025,1385,172,20091123080600,"10Km",,,49,34
378,6406,"M3539 ","Locamotiva ",20091123012105,20091123013030,7026,5641,964,20091123080600,"10Km",,,47,34
379,12941,"M3034 ","Locamotiva ",20091123012655,20091123013349,7196,5720,960,20091123084100,"10Km",,,12,34
380,1,"M2529 ","Locamotiva ",20091123002600,20091123002600,0,0,0,20091123051900,"4Km","alguem",,57,36
381,3787,,"Locamotiva ",20091220005514,20091220010034,0,0,0,20091220053100,"10Km",,,11,37
382,3800,,"Locamotiva ",20091220011214,20091220011737,4249,3319,540,20091220071300,"10Km",,,59,37
383,3801,,"Locamotiva ",20091220012418,20091220013730,4762,3568,204,20091220074000,"10Km","André Santos",,34,37
384,3789,,"Locamotiva ",20091220004644,20091220004652,401,387,92,20091220044000,"10Km",,,2,37
385,3790,,"Locamotiva ",20091220010151,20091220010608,0,0,0,20091220061100,"10Km",,,8,37
386,203,,"Locamotiva ",20091220005155,20091220005357,1022,965,216,20091220051100,"10Km",,,1,37
387,3792,,"Locamotiva ",20091220005111,20091220005630,908,861,188,20091220050700,"10Km",,,4,37
388,3799,,"Locamotiva ",20091220010906,20091220011425,3945,3147,652,20091220065400,"10Km",,,22,37
389,3804,,"Locamotiva ",20091220010727,20091220011425,3751,3029,485,20091220064400,"10Km",,,58,37
390,3796,,"Locamotiva ",20091220010225,20091220010746,3042,2583,540,20091220061400,"10Km","Rodrigo Ortiz",,6,37
391,3793,,"Locamotiva ",20091220012456,20091220013014,4778,3575,744,20091220082900,"10Km",,,55,37
392,3788,,"Locamotiva ",20091220010049,20091220010608,2744,2370,121,20091220060400,"10Km",,,52,37
393,3794,,"Locamotiva ",20091220005204,20091220005430,1056,997,221,20091220051200,"10Km",,,46,37
394,3797,,"Locamotiva ",20091220005511,20091220010035,0,0,0,20091220053100,"10Km",,,54,37
395,3803,,"Locamotiva ",20091220011838,20091220012256,4600,1098,185,20091220075100,"10Km",,,49,37
396,3791,,"Locamotiva ",20091220012505,20091220012923,4781,1205,62,20091220083000,"10Km",,,57,37
397,4593,,"Locamotiva  ",20091220005714,20091220005916,2003,198,46,20091220054300,"10Km",,,14,37
398,4645,"M3034","Locamotiva",20091231012531,20091231013707,5008,,,,"15Km",,,2,38
399,5023,"M3539","Locamotiva",20091231012620,20091231013756,5281,,,,"15Km",,,1,38
400,17540,"M3034","Locamotiva",20091231013719,20091231014000,8863,,,,"15Km",,,22,38
401,14872,"M3034","Locamotiva",20091231014649,20091231015823,11558,,,,"15Km",,,37,38
402,17531,"M2024","Locamotiva",20091231015509,20091231020927,13026,,,,"15Km",,,52,38
403,14874,"M2024","Locamotiva",20091231020708,20091231021844,14197,,,,"15Km",,,38,38
404,1224,"M2529","Locamotiva",20100117004200,20100117004236,1098,552,106,201001170824,"5Km",,,11,39
405,1229,"M3539","Locamotiva",20100117002108,20100117002112,34,31,8,201001170413,"5Km",,,2,39
406,1144,"F3034","Locamotiva",20100117002918,20100117003023,258,42,11,201001170551,"5Km",,,14,39
407,37,"M3539","Locamotiva",20100117002217,20100117002220,47,43,10,201001170427,"5Km",,,1,39
408,1231,"M3034","Locamotiva",20100117002329,20100117002404,65,58,20,201001170441,"5Km",,,4,39
409,1236,"M3034","Locamotiva",20100117002608,20100117002643,114,100,27,201001170513,"5Km",,,13,39
410,1237,"M3034","Locamotiva",20100117002434,20100117002509,83,74,23,201001170454,"5Km",,,3,39
411,1225,"M2024","Locamotiva",20100117002608,20100117002644,112,99,4,201001170513,"5Km",,,52,39
412,1232,"M3539","Locamotiva",20100117002445,20100117002753,85,76,16,201001170457,"5Km",,,46,39
413,1234,"F3034","Locamotiva",20100117003638,20100117003945,808,332,87,201001170719,"5Km",,,49,39
414,1227,"F2529","Locamotiva",20100117004254,20100117004602,1117,562,111,201001170834,"5Km",,,44,39
415,1233,"M2024","Locamotiva",20100117010442,20100117010609,1341,1087,37,201001170628,"10km",,,60,39
416,1226,"M3034","Locamotiva",20100117002836,20100117003002,220,189,48,201001170543,"5Km",,,34,39
417,1235,"M2529'","Locamotiva'",20100117003138,20100117003213,402,312,72,201001170619,"5Km'",,,58,39
